PING 141.44.1.1 (141.44.1.1) 56(84) bytes of data.
64 bytes from 141.44.1.1: icmp_seq=1 ttl=54 time=208 ms
64 bytes from 141.44.1.1: icmp_seq=2 ttl=54 time=123 ms
64 bytes from 141.44.1.1: icmp_seq=3 ttl=54 time=748 ms
64 bytes from 141.44.1.1: icmp_seq=4 ttl=54 time=404 ms
64 bytes from 141.44.1.1: icmp_seq=5 ttl=54 time=685 ms
64 bytes from 141.44.1.1: icmp_seq=7 ttl=54 time=598 ms
64 bytes from 141.44.1.1: icmp_seq=9 ttl=54 time=809 ms
64 bytes from 141.44.1.1: icmp_seq=10 ttl=54 time=890 ms
64 bytes from 141.44.1.1: icmp_seq=11 ttl=54 time=888 ms
64 bytes from 141.44.1.1: icmp_seq=12 ttl=54 time=704 ms
64 bytes from 141.44.1.1: icmp_seq=13 ttl=54 time=717 ms
64 bytes from 141.44.1.1: icmp_seq=14 ttl=54 time=896 ms
64 bytes from 141.44.1.1: icmp_seq=15 ttl=54 time=433 ms
64 bytes from 141.44.1.1: icmp_seq=16 ttl=54 time=671 ms
64 bytes from 141.44.1.1: icmp_seq=17 ttl=54 time=298 ms
64 bytes from 141.44.1.1: icmp_seq=18 ttl=54 time=289 ms
64 bytes from 141.44.1.1: icmp_seq=19 ttl=54 time=1021 ms
64 bytes from 141.44.1.1: icmp_seq=21 ttl=54 time=1193 ms
64 bytes from 141.44.1.1: icmp_seq=22 ttl=54 time=1148 ms
64 bytes from 141.44.1.1: icmp_seq=23 ttl=54 time=881 ms
64 bytes from 141.44.1.1: icmp_seq=24 ttl=54 time=978 ms
64 bytes from 141.44.1.1: icmp_seq=25 ttl=54 time=832 ms
64 bytes from 141.44.1.1: icmp_seq=26 ttl=54 time=533 ms
64 bytes from 141.44.1.1: icmp_seq=27 ttl=54 time=1427 ms
64 bytes from 141.44.1.1: icmp_seq=28 ttl=54 time=2370 ms
64 bytes from 141.44.1.1: icmp_seq=29 ttl=54 time=2738 ms
64 bytes from 141.44.1.1: icmp_seq=30 ttl=54 time=2341 ms
64 bytes from 141.44.1.1: icmp_seq=31 ttl=54 time=2021 ms
64 bytes from 141.44.1.1: icmp_seq=32 ttl=54 time=1652 ms
64 bytes from 141.44.1.1: icmp_seq=33 ttl=54 time=1580 ms
64 bytes from 141.44.1.1: icmp_seq=34 ttl=54 time=1657 ms
64 bytes from 141.44.1.1: icmp_seq=35 ttl=54 time=1595 ms
64 bytes from 141.44.1.1: icmp_seq=36 ttl=54 time=1219 ms
64 bytes from 141.44.1.1: icmp_seq=38 ttl=54 time=576 ms
64 bytes from 141.44.1.1: icmp_seq=39 ttl=54 time=908 ms
64 bytes from 141.44.1.1: icmp_seq=40 ttl=54 time=629 ms
64 bytes from 141.44.1.1: icmp_seq=41 ttl=54 time=504 ms
64 bytes from 141.44.1.1: icmp_seq=42 ttl=54 time=566 ms
64 bytes from 141.44.1.1: icmp_seq=43 ttl=54 time=440 ms
64 bytes from 141.44.1.1: icmp_seq=44 ttl=54 time=347 ms
64 bytes from 141.44.1.1: icmp_seq=45 ttl=54 time=870 ms
64 bytes from 141.44.1.1: icmp_seq=46 ttl=54 time=1015 ms
64 bytes from 141.44.1.1: icmp_seq=47 ttl=54 time=1082 ms
64 bytes from 141.44.1.1: icmp_seq=48 ttl=54 time=543 ms
64 bytes from 141.44.1.1: icmp_seq=49 ttl=54 time=265 ms
64 bytes from 141.44.1.1: icmp_seq=50 ttl=54 time=677 ms
64 bytes from 141.44.1.1: icmp_seq=51 ttl=54 time=329 ms
64 bytes from 141.44.1.1: icmp_seq=52 ttl=54 time=300 ms
64 bytes from 141.44.1.1: icmp_seq=53 ttl=54 time=379 ms
64 bytes from 141.44.1.1: icmp_seq=54 ttl=54 time=314 ms
64 bytes from 141.44.1.1: icmp_seq=55 ttl=54 time=125 ms
64 bytes from 141.44.1.1: icmp_seq=57 ttl=54 time=485 ms
64 bytes from 141.44.1.1: icmp_seq=58 ttl=54 time=729 ms
64 bytes from 141.44.1.1: icmp_seq=59 ttl=54 time=262 ms
64 bytes from 141.44.1.1: icmp_seq=60 ttl=54 time=769 ms
64 bytes from 141.44.1.1: icmp_seq=61 ttl=54 time=660 ms
64 bytes from 141.44.1.1: icmp_seq=62 ttl=54 time=487 ms
64 bytes from 141.44.1.1: icmp_seq=63 ttl=54 time=298 ms
64 bytes from 141.44.1.1: icmp_seq=64 ttl=54 time=140 ms
64 bytes from 141.44.1.1: icmp_seq=65 ttl=54 time=232 ms
64 bytes from 141.44.1.1: icmp_seq=66 ttl=54 time=1047 ms
64 bytes from 141.44.1.1: icmp_seq=67 ttl=54 time=1045 ms
64 bytes from 141.44.1.1: icmp_seq=68 ttl=54 time=3370 ms
64 bytes from 141.44.1.1: icmp_seq=69 ttl=54 time=3212 ms
64 bytes from 141.44.1.1: icmp_seq=70 ttl=54 time=3642 ms
64 bytes from 141.44.1.1: icmp_seq=71 ttl=54 time=3564 ms
64 bytes from 141.44.1.1: icmp_seq=72 ttl=54 time=2860 ms
64 bytes from 141.44.1.1: icmp_seq=73 ttl=54 time=2140 ms
64 bytes from 141.44.1.1: icmp_seq=74 ttl=54 time=1549 ms
64 bytes from 141.44.1.1: icmp_seq=75 ttl=54 time=1089 ms
64 bytes from 141.44.1.1: icmp_seq=76 ttl=54 time=540 ms
64 bytes from 141.44.1.1: icmp_seq=77 ttl=54 time=1082 ms
64 bytes from 141.44.1.1: icmp_seq=78 ttl=54 time=1402 ms
64 bytes from 141.44.1.1: icmp_seq=79 ttl=54 time=1326 ms
64 bytes from 141.44.1.1: icmp_seq=80 ttl=54 time=1858 ms
64 bytes from 141.44.1.1: icmp_seq=81 ttl=54 time=1635 ms
64 bytes from 141.44.1.1: icmp_seq=82 ttl=54 time=1285 ms
64 bytes from 141.44.1.1: icmp_seq=83 ttl=54 time=849 ms
64 bytes from 141.44.1.1: icmp_seq=84 ttl=54 time=988 ms
64 bytes from 141.44.1.1: icmp_seq=85 ttl=54 time=989 ms
64 bytes from 141.44.1.1: icmp_seq=86 ttl=54 time=1455 ms
64 bytes from 141.44.1.1: icmp_seq=87 ttl=54 time=1603 ms
64 bytes from 141.44.1.1: icmp_seq=88 ttl=54 time=935 ms
64 bytes from 141.44.1.1: icmp_seq=89 ttl=54 time=313 ms
64 bytes from 141.44.1.1: icmp_seq=91 ttl=54 time=249 ms
64 bytes from 141.44.1.1: icmp_seq=92 ttl=54 time=884 ms
64 bytes from 141.44.1.1: icmp_seq=93 ttl=54 time=1509 ms
64 bytes from 141.44.1.1: icmp_seq=94 ttl=54 time=1447 ms
64 bytes from 141.44.1.1: icmp_seq=95 ttl=54 time=1002 ms
64 bytes from 141.44.1.1: icmp_seq=96 ttl=54 time=301 ms
64 bytes from 141.44.1.1: icmp_seq=97 ttl=54 time=287 ms
64 bytes from 141.44.1.1: icmp_seq=98 ttl=54 time=386 ms
64 bytes from 141.44.1.1: icmp_seq=99 ttl=54 time=378 ms
64 bytes from 141.44.1.1: icmp_seq=100 ttl=54 time=228 ms
64 bytes from 141.44.1.1: icmp_seq=101 ttl=54 time=455 ms
64 bytes from 141.44.1.1: icmp_seq=102 ttl=54 time=1111 ms
64 bytes from 141.44.1.1: icmp_seq=103 ttl=54 time=1522 ms
64 bytes from 141.44.1.1: icmp_seq=104 ttl=54 time=3004 ms
64 bytes from 141.44.1.1: icmp_seq=105 ttl=54 time=4093 ms
64 bytes from 141.44.1.1: icmp_seq=106 ttl=54 time=3725 ms
64 bytes from 141.44.1.1: icmp_seq=107 ttl=54 time=3679 ms
64 bytes from 141.44.1.1: icmp_seq=108 ttl=54 time=6150 ms
64 bytes from 141.44.1.1: icmp_seq=109 ttl=54 time=5173 ms
64 bytes from 141.44.1.1: icmp_seq=110 ttl=54 time=4353 ms
64 bytes from 141.44.1.1: icmp_seq=112 ttl=54 time=4134 ms
