PING 141.44.1.1 (141.44.1.1) 56(84) bytes of data.
64 bytes from 141.44.1.1: icmp_seq=1 ttl=47 time=123 ms
64 bytes from 141.44.1.1: icmp_seq=2 ttl=47 time=47.5 ms
64 bytes from 141.44.1.1: icmp_seq=3 ttl=47 time=47.4 ms
64 bytes from 141.44.1.1: icmp_seq=4 ttl=47 time=45.2 ms
64 bytes from 141.44.1.1: icmp_seq=5 ttl=47 time=45.3 ms
64 bytes from 141.44.1.1: icmp_seq=6 ttl=47 time=45.6 ms
64 bytes from 141.44.1.1: icmp_seq=7 ttl=47 time=45.9 ms
64 bytes from 141.44.1.1: icmp_seq=8 ttl=47 time=47.5 ms
64 bytes from 141.44.1.1: icmp_seq=9 ttl=47 time=94.5 ms
64 bytes from 141.44.1.1: icmp_seq=10 ttl=47 time=57.1 ms
64 bytes from 141.44.1.1: icmp_seq=11 ttl=47 time=54.8 ms
64 bytes from 141.44.1.1: icmp_seq=12 ttl=47 time=46.3 ms
64 bytes from 141.44.1.1: icmp_seq=13 ttl=47 time=46.4 ms
64 bytes from 141.44.1.1: icmp_seq=14 ttl=47 time=44.8 ms
64 bytes from 141.44.1.1: icmp_seq=15 ttl=47 time=45.3 ms
64 bytes from 141.44.1.1: icmp_seq=16 ttl=47 time=53.6 ms
64 bytes from 141.44.1.1: icmp_seq=17 ttl=47 time=46.1 ms
64 bytes from 141.44.1.1: icmp_seq=18 ttl=47 time=45.7 ms
64 bytes from 141.44.1.1: icmp_seq=19 ttl=47 time=46.6 ms
64 bytes from 141.44.1.1: icmp_seq=20 ttl=47 time=45.3 ms
64 bytes from 141.44.1.1: icmp_seq=21 ttl=47 time=43.9 ms
64 bytes from 141.44.1.1: icmp_seq=22 ttl=47 time=44.0 ms
64 bytes from 141.44.1.1: icmp_seq=23 ttl=47 time=53.2 ms
64 bytes from 141.44.1.1: icmp_seq=24 ttl=47 time=47.9 ms
64 bytes from 141.44.1.1: icmp_seq=25 ttl=47 time=47.0 ms
64 bytes from 141.44.1.1: icmp_seq=26 ttl=47 time=45.6 ms
64 bytes from 141.44.1.1: icmp_seq=27 ttl=47 time=53.7 ms
64 bytes from 141.44.1.1: icmp_seq=28 ttl=47 time=46.4 ms
64 bytes from 141.44.1.1: icmp_seq=29 ttl=47 time=54.9 ms
64 bytes from 141.44.1.1: icmp_seq=30 ttl=47 time=64.7 ms
64 bytes from 141.44.1.1: icmp_seq=31 ttl=47 time=47.8 ms
64 bytes from 141.44.1.1: icmp_seq=32 ttl=47 time=47.5 ms
64 bytes from 141.44.1.1: icmp_seq=33 ttl=47 time=47.0 ms
64 bytes from 141.44.1.1: icmp_seq=34 ttl=47 time=48.3 ms
64 bytes from 141.44.1.1: icmp_seq=35 ttl=47 time=57.7 ms
64 bytes from 141.44.1.1: icmp_seq=36 ttl=47 time=47.0 ms
64 bytes from 141.44.1.1: icmp_seq=37 ttl=47 time=91.0 ms
64 bytes from 141.44.1.1: icmp_seq=38 ttl=47 time=49.8 ms
64 bytes from 141.44.1.1: icmp_seq=39 ttl=47 time=45.8 ms
64 bytes from 141.44.1.1: icmp_seq=40 ttl=47 time=46.3 ms
64 bytes from 141.44.1.1: icmp_seq=41 ttl=47 time=47.7 ms
64 bytes from 141.44.1.1: icmp_seq=42 ttl=47 time=47.2 ms
64 bytes from 141.44.1.1: icmp_seq=43 ttl=47 time=49.0 ms
64 bytes from 141.44.1.1: icmp_seq=44 ttl=47 time=47.8 ms
64 bytes from 141.44.1.1: icmp_seq=45 ttl=47 time=47.1 ms
64 bytes from 141.44.1.1: icmp_seq=46 ttl=47 time=48.5 ms
64 bytes from 141.44.1.1: icmp_seq=47 ttl=47 time=46.2 ms
64 bytes from 141.44.1.1: icmp_seq=48 ttl=47 time=48.4 ms
64 bytes from 141.44.1.1: icmp_seq=49 ttl=47 time=47.3 ms
64 bytes from 141.44.1.1: icmp_seq=50 ttl=47 time=45.4 ms
64 bytes from 141.44.1.1: icmp_seq=51 ttl=47 time=46.2 ms
64 bytes from 141.44.1.1: icmp_seq=52 ttl=47 time=48.9 ms
64 bytes from 141.44.1.1: icmp_seq=53 ttl=47 time=47.5 ms
64 bytes from 141.44.1.1: icmp_seq=54 ttl=47 time=47.2 ms
64 bytes from 141.44.1.1: icmp_seq=55 ttl=47 time=45.6 ms
64 bytes from 141.44.1.1: icmp_seq=56 ttl=47 time=46.9 ms
64 bytes from 141.44.1.1: icmp_seq=57 ttl=47 time=46.0 ms
64 bytes from 141.44.1.1: icmp_seq=58 ttl=47 time=62.3 ms
64 bytes from 141.44.1.1: icmp_seq=59 ttl=47 time=46.7 ms
64 bytes from 141.44.1.1: icmp_seq=60 ttl=47 time=61.3 ms
64 bytes from 141.44.1.1: icmp_seq=61 ttl=47 time=45.9 ms
64 bytes from 141.44.1.1: icmp_seq=62 ttl=47 time=46.7 ms
64 bytes from 141.44.1.1: icmp_seq=63 ttl=47 time=47.1 ms
64 bytes from 141.44.1.1: icmp_seq=64 ttl=47 time=46.3 ms
64 bytes from 141.44.1.1: icmp_seq=65 ttl=47 time=44.9 ms
64 bytes from 141.44.1.1: icmp_seq=66 ttl=47 time=48.0 ms
64 bytes from 141.44.1.1: icmp_seq=67 ttl=47 time=46.3 ms
64 bytes from 141.44.1.1: icmp_seq=68 ttl=47 time=47.8 ms
64 bytes from 141.44.1.1: icmp_seq=69 ttl=47 time=47.8 ms
64 bytes from 141.44.1.1: icmp_seq=70 ttl=47 time=48.1 ms
64 bytes from 141.44.1.1: icmp_seq=71 ttl=47 time=56.8 ms
64 bytes from 141.44.1.1: icmp_seq=72 ttl=47 time=47.1 ms
