PING 141.44.1.1 (141.44.1.1) 56(84) bytes of data.
64 bytes from 141.44.1.1: icmp_seq=1 ttl=51 time=44.2 ms
64 bytes from 141.44.1.1: icmp_seq=2 ttl=51 time=40.7 ms
64 bytes from 141.44.1.1: icmp_seq=3 ttl=51 time=38.5 ms
64 bytes from 141.44.1.1: icmp_seq=4 ttl=51 time=46.8 ms
64 bytes from 141.44.1.1: icmp_seq=5 ttl=51 time=39.8 ms
64 bytes from 141.44.1.1: icmp_seq=6 ttl=51 time=43.0 ms
64 bytes from 141.44.1.1: icmp_seq=7 ttl=51 time=42.6 ms
64 bytes from 141.44.1.1: icmp_seq=8 ttl=51 time=38.5 ms
64 bytes from 141.44.1.1: icmp_seq=9 ttl=51 time=49.2 ms
64 bytes from 141.44.1.1: icmp_seq=10 ttl=51 time=47.9 ms
64 bytes from 141.44.1.1: icmp_seq=11 ttl=51 time=39.6 ms
64 bytes from 141.44.1.1: icmp_seq=12 ttl=51 time=44.7 ms
64 bytes from 141.44.1.1: icmp_seq=13 ttl=51 time=48.3 ms
64 bytes from 141.44.1.1: icmp_seq=14 ttl=51 time=41.6 ms
64 bytes from 141.44.1.1: icmp_seq=15 ttl=51 time=51.8 ms
64 bytes from 141.44.1.1: icmp_seq=16 ttl=51 time=38.8 ms
64 bytes from 141.44.1.1: icmp_seq=17 ttl=51 time=39.9 ms
64 bytes from 141.44.1.1: icmp_seq=18 ttl=51 time=37.5 ms
64 bytes from 141.44.1.1: icmp_seq=19 ttl=51 time=44.4 ms
64 bytes from 141.44.1.1: icmp_seq=20 ttl=51 time=42.9 ms
64 bytes from 141.44.1.1: icmp_seq=21 ttl=51 time=41.7 ms
64 bytes from 141.44.1.1: icmp_seq=22 ttl=51 time=41.3 ms
64 bytes from 141.44.1.1: icmp_seq=23 ttl=51 time=38.8 ms
64 bytes from 141.44.1.1: icmp_seq=24 ttl=51 time=42.2 ms
64 bytes from 141.44.1.1: icmp_seq=25 ttl=51 time=37.6 ms
64 bytes from 141.44.1.1: icmp_seq=26 ttl=51 time=38.9 ms
64 bytes from 141.44.1.1: icmp_seq=27 ttl=51 time=43.8 ms
64 bytes from 141.44.1.1: icmp_seq=28 ttl=51 time=41.0 ms
64 bytes from 141.44.1.1: icmp_seq=29 ttl=51 time=41.0 ms
64 bytes from 141.44.1.1: icmp_seq=30 ttl=51 time=38.2 ms
64 bytes from 141.44.1.1: icmp_seq=31 ttl=51 time=39.7 ms
64 bytes from 141.44.1.1: icmp_seq=32 ttl=51 time=36.9 ms
64 bytes from 141.44.1.1: icmp_seq=33 ttl=51 time=37.9 ms
64 bytes from 141.44.1.1: icmp_seq=34 ttl=51 time=49.7 ms
64 bytes from 141.44.1.1: icmp_seq=35 ttl=51 time=40.4 ms
64 bytes from 141.44.1.1: icmp_seq=36 ttl=51 time=42.0 ms
64 bytes from 141.44.1.1: icmp_seq=37 ttl=51 time=40.7 ms
64 bytes from 141.44.1.1: icmp_seq=38 ttl=51 time=49.7 ms
64 bytes from 141.44.1.1: icmp_seq=39 ttl=51 time=47.0 ms
64 bytes from 141.44.1.1: icmp_seq=40 ttl=51 time=46.8 ms
64 bytes from 141.44.1.1: icmp_seq=41 ttl=51 time=41.3 ms
64 bytes from 141.44.1.1: icmp_seq=42 ttl=51 time=38.9 ms
64 bytes from 141.44.1.1: icmp_seq=43 ttl=51 time=42.0 ms
64 bytes from 141.44.1.1: icmp_seq=44 ttl=51 time=41.1 ms
64 bytes from 141.44.1.1: icmp_seq=45 ttl=51 time=50.0 ms
64 bytes from 141.44.1.1: icmp_seq=46 ttl=51 time=43.9 ms
64 bytes from 141.44.1.1: icmp_seq=47 ttl=51 time=37.8 ms
64 bytes from 141.44.1.1: icmp_seq=48 ttl=51 time=45.2 ms
64 bytes from 141.44.1.1: icmp_seq=49 ttl=51 time=42.8 ms
64 bytes from 141.44.1.1: icmp_seq=50 ttl=51 time=43.8 ms
64 bytes from 141.44.1.1: icmp_seq=51 ttl=51 time=35.7 ms
64 bytes from 141.44.1.1: icmp_seq=52 ttl=51 time=50.2 ms
64 bytes from 141.44.1.1: icmp_seq=53 ttl=51 time=40.1 ms
64 bytes from 141.44.1.1: icmp_seq=54 ttl=51 time=41.7 ms
64 bytes from 141.44.1.1: icmp_seq=55 ttl=51 time=42.0 ms
64 bytes from 141.44.1.1: icmp_seq=56 ttl=51 time=43.9 ms
64 bytes from 141.44.1.1: icmp_seq=57 ttl=51 time=43.9 ms
64 bytes from 141.44.1.1: icmp_seq=58 ttl=51 time=39.4 ms
64 bytes from 141.44.1.1: icmp_seq=59 ttl=51 time=41.5 ms
64 bytes from 141.44.1.1: icmp_seq=60 ttl=51 time=40.1 ms
64 bytes from 141.44.1.1: icmp_seq=61 ttl=51 time=39.3 ms
64 bytes from 141.44.1.1: icmp_seq=62 ttl=51 time=39.6 ms
64 bytes from 141.44.1.1: icmp_seq=63 ttl=51 time=46.7 ms
64 bytes from 141.44.1.1: icmp_seq=64 ttl=51 time=40.6 ms
64 bytes from 141.44.1.1: icmp_seq=65 ttl=51 time=44.4 ms
64 bytes from 141.44.1.1: icmp_seq=66 ttl=51 time=43.3 ms
64 bytes from 141.44.1.1: icmp_seq=67 ttl=51 time=38.6 ms
64 bytes from 141.44.1.1: icmp_seq=68 ttl=51 time=56.1 ms
64 bytes from 141.44.1.1: icmp_seq=69 ttl=51 time=38.1 ms
64 bytes from 141.44.1.1: icmp_seq=70 ttl=51 time=41.6 ms
64 bytes from 141.44.1.1: icmp_seq=71 ttl=51 time=39.8 ms
64 bytes from 141.44.1.1: icmp_seq=72 ttl=51 time=45.4 ms
64 bytes from 141.44.1.1: icmp_seq=73 ttl=51 time=42.7 ms
64 bytes from 141.44.1.1: icmp_seq=74 ttl=51 time=42.1 ms
64 bytes from 141.44.1.1: icmp_seq=75 ttl=51 time=38.9 ms
64 bytes from 141.44.1.1: icmp_seq=76 ttl=51 time=40.2 ms
64 bytes from 141.44.1.1: icmp_seq=77 ttl=51 time=33.8 ms
64 bytes from 141.44.1.1: icmp_seq=78 ttl=51 time=37.5 ms
64 bytes from 141.44.1.1: icmp_seq=79 ttl=51 time=44.0 ms
64 bytes from 141.44.1.1: icmp_seq=80 ttl=51 time=42.3 ms
64 bytes from 141.44.1.1: icmp_seq=81 ttl=51 time=35.4 ms
64 bytes from 141.44.1.1: icmp_seq=82 ttl=51 time=40.9 ms
64 bytes from 141.44.1.1: icmp_seq=83 ttl=51 time=41.6 ms
64 bytes from 141.44.1.1: icmp_seq=84 ttl=51 time=39.4 ms
64 bytes from 141.44.1.1: icmp_seq=85 ttl=51 time=38.3 ms
64 bytes from 141.44.1.1: icmp_seq=86 ttl=51 time=42.0 ms
64 bytes from 141.44.1.1: icmp_seq=87 ttl=51 time=37.5 ms
64 bytes from 141.44.1.1: icmp_seq=88 ttl=51 time=36.0 ms
64 bytes from 141.44.1.1: icmp_seq=89 ttl=51 time=43.8 ms
64 bytes from 141.44.1.1: icmp_seq=90 ttl=51 time=37.2 ms
64 bytes from 141.44.1.1: icmp_seq=91 ttl=51 time=40.7 ms
64 bytes from 141.44.1.1: icmp_seq=92 ttl=51 time=44.3 ms
64 bytes from 141.44.1.1: icmp_seq=93 ttl=51 time=37.5 ms
64 bytes from 141.44.1.1: icmp_seq=94 ttl=51 time=44.4 ms
64 bytes from 141.44.1.1: icmp_seq=95 ttl=51 time=55.0 ms
64 bytes from 141.44.1.1: icmp_seq=96 ttl=51 time=41.8 ms
64 bytes from 141.44.1.1: icmp_seq=97 ttl=51 time=42.0 ms
64 bytes from 141.44.1.1: icmp_seq=98 ttl=51 time=37.1 ms
64 bytes from 141.44.1.1: icmp_seq=99 ttl=51 time=39.6 ms
64 bytes from 141.44.1.1: icmp_seq=100 ttl=51 time=39.5 ms
64 bytes from 141.44.1.1: icmp_seq=101 ttl=51 time=37.9 ms
64 bytes from 141.44.1.1: icmp_seq=102 ttl=51 time=33.7 ms
64 bytes from 141.44.1.1: icmp_seq=103 ttl=51 time=54.1 ms
64 bytes from 141.44.1.1: icmp_seq=104 ttl=51 time=42.8 ms
64 bytes from 141.44.1.1: icmp_seq=105 ttl=51 time=40.6 ms
64 bytes from 141.44.1.1: icmp_seq=106 ttl=51 time=49.3 ms
64 bytes from 141.44.1.1: icmp_seq=107 ttl=51 time=58.7 ms
64 bytes from 141.44.1.1: icmp_seq=108 ttl=51 time=42.3 ms
64 bytes from 141.44.1.1: icmp_seq=109 ttl=51 time=49.1 ms
64 bytes from 141.44.1.1: icmp_seq=110 ttl=51 time=45.2 ms
64 bytes from 141.44.1.1: icmp_seq=111 ttl=51 time=43.0 ms
64 bytes from 141.44.1.1: icmp_seq=112 ttl=51 time=43.2 ms
64 bytes from 141.44.1.1: icmp_seq=113 ttl=51 time=43.2 ms
64 bytes from 141.44.1.1: icmp_seq=114 ttl=51 time=51.2 ms
64 bytes from 141.44.1.1: icmp_seq=115 ttl=51 time=37.6 ms
64 bytes from 141.44.1.1: icmp_seq=116 ttl=51 time=42.4 ms
64 bytes from 141.44.1.1: icmp_seq=117 ttl=51 time=41.8 ms
64 bytes from 141.44.1.1: icmp_seq=118 ttl=51 time=37.9 ms
64 bytes from 141.44.1.1: icmp_seq=119 ttl=51 time=44.6 ms
64 bytes from 141.44.1.1: icmp_seq=120 ttl=51 time=38.8 ms
64 bytes from 141.44.1.1: icmp_seq=121 ttl=51 time=46.5 ms
64 bytes from 141.44.1.1: icmp_seq=122 ttl=51 time=50.0 ms
64 bytes from 141.44.1.1: icmp_seq=123 ttl=51 time=51.8 ms
64 bytes from 141.44.1.1: icmp_seq=124 ttl=51 time=37.0 ms
64 bytes from 141.44.1.1: icmp_seq=125 ttl=51 time=47.7 ms
